Review Provider,Review ID,Review Content,Review Score,Review Time,normalized_score,Hotel,cleaned_content,label
Agoda,817554055,"Overall, my experience was positive.  It is marriot branding afterall. However, I was not informed beforehand that I needed to provide a confirmation letter to authorize another person to stay under my reservation. It would be helpful for future guests if this requirement were clearly communicated at the time of booking
 
 ",8.8,2024-06-16T07:48:00+07:00,0.40000000000000036,fairfield_by_marriott_cebu,overall experience positive marriot branding afterall however informed beforehand needed provide confirmation letter authorize another person stay reservation would helpful future guest requirement clearly communicated time booking,1
Agoda,816309595,"Marriott is always with pretty good interior design but what surprises me the most is how the reception was so reactive in so many ways! Asking about what a fair taxi rate from A to B, where to find the shops we were looking for…etc. 
 
 ",10.0,2024-06-10T03:12:00+07:00,1.0,fairfield_by_marriott_cebu,marriott always pretty good interior design surprise reception reactive many way asking fair taxi rate b find shop looking foretc,2
Agoda,815995536,"Beautiful new hotel with very attentive and professional staff.  I enjoyed staying at this hotel.  Breakfast and all my meals were so delicious.   This hotel exceeded my expectations, including the complimentary airport shuttle.
 
 ",10.0,2024-06-06T08:55:00+07:00,1.0,fairfield_by_marriott_cebu,beautiful new hotel attentive professional staff enjoyed staying hotel breakfast meal delicious hotel exceeded expectation including complimentary airport shuttle,2
Agoda,791649125,"The staff are superb. Nice experience
 
 ",9.6,2024-04-13T07:27:00+07:00,0.7999999999999998,fairfield_by_marriott_cebu,,2
Agoda,791504757,"I had flown from Vancouver to Manila and then connecting flight to Cebu. It was a long travel day and the Fairfield Marriott was my hotel stop. The front desk staff were very professional and had me checked into my room very fast. The Lobby was immaculate and all the staff helpful. The room was just as advertised, and I was very pleased with the room arrangement . I had some travel arrangements to make and again the front desk went above and beyond  to help me get it all arranged . The restaurant and serving staff were beyond amazing. Having me seated promptly and my taking my food order  in a timely fashion.  The food was spot on and the dessert even better than I could have expected. The end of the night came and the bed was very comfortable and clean. Checking out was again a pleasure as they were prompt and efficient on getting me on my way. I will be returning to Cebu again and will choose to stay with them again.
 
 ",10.0,2024-04-11T10:07:00+07:00,1.0,fairfield_by_marriott_cebu,flown vancouver manila connecting flight cebu long travel day fairfield marriott hotel stop front desk staff professional checked room fast lobby immaculate staff helpful room advertised pleased room arrangement travel arrangement make front desk went beyond help get arranged restaurant serving staff beyond amazing seated promptly taking food order timely fashion food spot dessert even better could expected end night came bed comfortable clean checking pleasure prompt efficient getting way returning cebu choose stay,2
Agoda,771128042,"The Hotel is nice newly built, more expensive than Bai Hotel. I checked in after 10pm and they dont have room service or at least resto that open until midnight for late comers. The breakfast on my first day was not great but the following day it is completely different and it was really good , selection is between Filipino food and European. Different selection of Bread 3 choices of cold cuts and then typical breakfast of Cebuanos, egg station. most of the food that needs chilling is in the chiller and it was really good. The Hotel is clean and Staff are approachable and friendly. Other facilities are  pool and gym, looks like they have also function room but not sure.  I consider to try them again when I am in Cebu.   
 
 ",8.0,2024-02-13T05:07:00+07:00,0.0,fairfield_by_marriott_cebu,hotel nice newly built expensive bai hotel checked pm dont room service least resto open midnight late comer breakfast first day great following day completely different really good selection filipino food european different selection bread choice cold cut typical breakfast cebuano egg station food need chilling chiller really good hotel clean staff approachable friendly facility pool gym look like also function room sure consider try cebu,0
Agoda,770801589,"Functional, beautiful rooms and good value for money. 
 
 ",10.0,2024-02-08T11:08:00+07:00,1.0,fairfield_by_marriott_cebu,,2
Agoda,761629955,"Stayed 1 night room 817 ..hotel is cozy place nice pool and very nice staff special mention to FO Philip or Phil so accommodating and with initiative! 
Suggestions for the hotel staff uniform please not that polo shirts, uniform must suit to your hotel standard. Wish for more choices for breakfast next time. But all is good 👍 
 
 ",10.0,2024-01-13T03:08:00+07:00,1.0,fairfield_by_marriott_cebu,stayed night room hotel cozy place nice pool nice staff special mention fo philip phil accommodating initiative suggestion hotel staff uniform please polo shirt uniform must suit hotel standard wish choice breakfast next time good,2
Agoda,759152465,"The hotel is amazing,
I had a 3 day layover between my flights. The staff, the facilities are amazing. I highly recommend.

It's a very good location from the airport, far from the city center though. Traveling by car to Cebu city center can take a long time due to traffic.
it depends on your needs. Booking a motorbike takes you places much faster, but obviously is incovenient for the heat, dust, etc .. 
 
 ",9.6,2024-01-09T11:29:00+07:00,0.7999999999999998,fairfield_by_marriott_cebu,hotel amazing day layover flight staff facility amazing highly recommend good location airport far city center though traveling car cebu city center take long time due traffic depends need booking motorbike take place much faster obviously incovenient heat dust etc,2
Agoda,753421848,"Except the menu everything was wonderful, inside the marriot. 
 
 ",9.6,2023-12-23T10:39:00+07:00,0.7999999999999998,fairfield_by_marriott_cebu,,2
